Roles	Description	Privileges
Defender Sensitive Data Discovery	Grants permissions for Microsoft Defender for Cloud Sensitive Data Discovery plan features	Yes
Azure Managed Grafana Workspace Contributor	Can manage Azure Managed Grafana resources, without providing access to the workspaces themselves.	Yes
Cognitive Services Data Contributor (Preview)	Allows to call data plane APIs, but not any control plane APIs for Microsoft Cognitive Services. This role is in preview and subject to change.	No
Container Apps ConnectedEnvironments Reader	Read access to Container Apps ConnectedEnvironments.	Yes
Azure Kubernetes Fleet Manager RBAC Cluster Reader	Grants read-only access to most Kubernetes cluster-scoped resources in the fleet-managed hub cluster.	Yes
Azure Kubernetes Fleet Manager RBAC Cluster Writer	Grants read/write access to most Kubernetes cluster-scoped resources in the fleet-managed hub cluster.	Yes
Chaos Studio Experiment Contributor	Can create, run, and see details for experiments, onboard targets, and manage capabilities.	Yes
Chaos Studio Reader	Can view targets, capabilities, experiments, and experiment details.	Yes
Chaos Studio Operator	Can run and see details for experiments but cannot create experiments or manage targets and capabilities.	Yes
Container Apps ConnectedEnvironments Contributor	Full management of Container Apps ConnectedEnvironments, including creation, deletion, and updates.	Yes
Azure Messaging Connectors Owner	Allows for full access to Azure Messaging Connectors resources.	Yes
Container Registry Contributor and Data Access Configuration Administrator	Provides permissions to create, list, and update container registries and registry configuration properties. Provides permissions to configure data access such as admin user credentials, scope maps, and tokens, which can be used to read, write or delete repositories and images. Does not provide direct permissions to read, list, or write registry contents including repositories and images. Does not provide permissions to modify data plane content such as imports, Artifact Cache or Sync, and Transfer Pipelines. Does not provide permissions for managing Tasks.	Yes
Health Safeguards Data User	Allows processing of health data in all available Health Safeguards	No
Container Registry Configuration Reader and Data Access Configuration Reader	Provides permissions to list container registries and registry configuration properties. Provides permissions to list data access configuration such as admin user credentials, scope maps, and tokens, which can be used to read, write or delete repositories and images. Does not provide direct permissions to read, list, or write registry contents including repositories and images. Does not provide permissions to modify data plane content such as imports, Artifact Cache or Sync, and Transfer Pipelines. Does not provide permissions for managing Tasks.	Yes
Container Registry Transfer Pipeline Contributor	Provides the ability to transfer, import, and export artifacts through configuring registry transfer pipelines that involve intermediary storage accounts and key vaults. Does not provide permissions to push or pull images. Does not provide permissions to create, manage, or list storage accounts or key vaults. Does not provide permissions to perform role assignments.	Yes
Desktop Virtualization App Attach Contributor	Provide permission to manage app attach resources	Yes
HybridCompute Machine ListAccessDetails Action In-Built Role	In-Built Role definition that grants permissions to execute the listAccessDetails action on HybridCompute Machines	Yes
App Service Environment Contributor	Manage App Service Environments but not the App Service Plans or Websites that it hosts.	Yes
Kubernetes Agent Subscription Level Operator	Grants Microsoft Defender for Cloud subscription level permissions needed to activate Containers plan	Yes
Quantum Workspace Data Contributor	Create, read, and modify jobs and other Workspace data. This role is in preview and subject to change.	Yes
Communication and Email Service Owner	Create, read, modify, and delete Communications and Email Service resources.	Yes
Oracle.Database Autonomous Database Administrator	Grants full access to manage all Autonomous Database resources	Yes
Azure AI Safety Evaluator	This role can perform all actions under workspace evaluations and simulations.	Yes
Container Registry Tasks Contributor	Provides permissions to configure, read, list, trigger, or cancel Container Registry Tasks, Task Runs, Task Logs, Quick Runs, Quick Builds, and Task Agent Pools. Permissions granted for Tasks management can be used for full registry data plane permissions including reading/writing/deleting container images in registries. Permissions granted for Tasks management can also be used to run customer authored build directives and run scripts to build software artifacts.	Yes
Azure Backup Snapshot Contributor	Provide permissions to backup identity to manage RPC snapshots	Yes
AVS on Fleet VIS Role	Do not remove this role from your resource because it is critical to enable your AVS private cloud to operate. If the role is removed, it will cause your AVS private cloud control plane to no longer operate correctly. The role is used to enable the AVS private cloud control plane to inject address prefix changes of the private clouds attached virtual network to SDN and support peering sync feature. This role is not intended for use cases outside of assignment to the associated AVS identity in your entra-id tenant.	Yes
Durable Task Data Reader	Read all Durable Task Scheduler data.	No
Edge Management Copilot User	Enables users access to Edge Management Copilot.	Yes
Online Experimentation Data Owner	Allows full access to Online Experimentation data.	No
Online Experimentation Data Reader	Allows read access to Online Experimentation data.	No
Azure Stack HCI Edge Machine Contributor Role	Microsoft.AzureStackHCI Edge Machine Contributor Role	Yes
Chaos Studio Target Contributor	Can onboard targets and manage capabilities but cannot create, run, or see details for experiments	Yes
Auto Actions Contributor	Allows users to manage Auto Actions resources.	Yes
Azure Device Onboarding Discovery Contributor	Can read, write or delete the discovery and it's child resources.	Yes
SSH PublicKeys Contributor Role	This is the role created for SSH PublicKeys Contributor	Yes
SSH PublicKeys Reader Role	This is the role created for SSH PublicKeys Reader	Yes
Defender Serverless Scanner	Grants access to Serverless resources and thier connections	Yes
Azure Kubernetes Service Agent Pool Manager Role	Role for agentpool related actions	Yes
Dedicated Host Contributor Role	This is the role created for DedicatedHosts Contributor	Yes
Compute Fleet Contributor	Allows users to manage Compute Fleet resources.	Yes
Azure API Center Credential Access Reader	Allows for access to Azure API Center data plane get credentials operations.	No
Managed Identity Federated Identity Credential Contributor	Create, Read, Update, and Delete User Assigned Identity Federated Identity Credentials(FIC)	Yes
Azure File Sync Reader	Provides read access to Azure File Sync service (Storage Sync Service).	Yes
Azure File Sync Administrator	Provides full access to manage all Azure File Sync (Storage Sync Service) resources.	Yes
Azure Red Hat OpenShift Hosted Control Planes Cluster API Provider	Enables permissions to allow cluster API to manage nodes, networks and disks for OpenShift cluster.	Yes
Online Experimentation Reader	Grants permission for read operations to Online Experimentation resources.	Yes
Online Experimentation Contributor	Grants permissions for all management operations to Online Experimentation resources.	Yes
Oracle.Database Exascale Storage Vault Administrator	Grants full access to manage Exascale Storage Vaults	Yes
Flux Configurations Contributor	Can create, update, get, list and delete Flux Configurations	Yes
Container Registry Credential Set Reader	Read the configuration of Credential Sets in Container Registry. This permission doesn't allow permission to see content inside Azure Key vault only the content inside Container Registry. This permission doesn't grant permission to read Cache Rules.	Yes
Issue Contributor	Can read all issues data and update issues settings.	Yes
Oracle.Database Exascale VmCluster Administrator	Grants full access to manage Exascale VmClusters	Yes
Container Registry Credential Set Administrator	Create, Read, Update, and Delete Credential Sets in Container Registry. This role doesn't affect the needed permissions for storing content inside Azure Key Vault. This role also doesn't grant permissions to manage Cache Rules.	Yes
Container Registry Cache Rule Reader	Read the configuration of Cache Rules in Container Registry. This permission doesn't grant permission to read Credential Sets.	Yes
Container Registry Cache Rule Administrator	Create, Read, Update, and Delete Cache Rules in Container Registry. This role doesn't grant permissions to manage Credential Sets.	Yes
Power Platform Enterprise Policy Contributor	Create, Read, Update, and Delete Power Platform Enterprise Policy resources	Yes
Power Platform Account Contributor	Create, Read, Update, and Delete Power Platform Account resources	Yes
Usage Billing Contributor	Contributor access to Accounts	Yes
Workload Orchestration Solution External Validator	Grants you access to fetch targets, solution templates, solutions and update the external validation status	Yes
Azure AI Project Manager	Lets you perform developer actions and management actions on Azure AI Foundry Projects. Allows for making role assignments, but limited to Cognitive Service User role.	Yes
Azure Monitor Dashboards with Grafana Contributor	Can manage dashboards with Grafana.	Yes
Azure AI User	Grants reader access to AI projects, reader access to AI accounts, and data actions for an AI project.	Yes
Azure AI Account Owner	Grants full access to manage AI projects and accounts. Grants conditional assignment of the Azure AI User role to other user principles.	Yes
Secrets Store Extension Owner	Read, create and modify secretsync and secretproviderclass objects. Register and deregister the provider from the subscription.	Yes
Azure Red Hat OpenShift Hosted Control Planes Control Plane Operator	Enables the control plane operator to read resources necessary for OpenShift cluster.	Yes
Azure Red Hat OpenShift Hosted Control Planes Service Managed Identity	Azure Red Hat OpenShift Hosted Control Planes Service Managed Identity	Yes
Azure Kubernetes Fleet Manager Hub Agent Role	Grants access to Azure resources needed by Azure Kubernetes Fleet Manager hub agents.	Yes
Workload Orchestration IT Admin	Grants you access to manage the IT Admin operations for Workload Orchestration	Yes
Arc Gateway Manager	Manage Arc Gateway Resources	Yes
Microsoft.AzureStackHCI Device Pool Manager	Microsoft.AzureStackHCI Device Pool Manager 	Yes
Azure Kubernetes Service Machine Manager Role	Role for machine related actions	Yes
Monitoring Policy Contributor	Allows read access to all monitoring data, update permissions for monitoring settings and permissions to deploy and remediate Azure Monitor alert policies.	Yes
Microsoft.AzureStackHCI EdgeMachine Reader	Microsoft.AzureStackHCI EdgeMachine Reader	Yes
Storage Table Delegator	Allows for generation of a user delegation key, which can then be used to create a shared access signature for an Azure Storage table that is signed with Entra ID credentials.	Yes
Storage Queue Delegator	Allows for generation of a user delegation key, which can then be used to create a shared access signature for an Azure Storage queue that is signed with Entra ID credentials.	Yes
Storage File Delegator	Allows for generation of a user delegation key, which can then be used to create a shared access signature for a file or Azure file share that is signed with Entra ID credentials.	Yes
Scheduled Actions Contributor	Allows users to use Scheduled Actions offered by Microsoft.ComputeSchedule	Yes
Microsoft.AzureStackHCI Device Pool Machine Manager	Microsoft.AzureStackHCI Device Pool Machine Manager 	Yes
AI Model Scanner Operator	Grants Microsoft Defender for AI access to AI services and resources.	Yes
Azure Kubernetes Service Namespace User	Allows users to read Azure Kubernetes Service namespace resources. In-cluster namespace access further requires assignment of Azure Kubernetes Service RBAC roles to the namespace resource for an Entra ID enabled cluster.	Yes
Azure Kubernetes Service Namespace Contributor	Allows users to create and manage Azure Kubernetes Service namespace resources.	Yes
DevOps Infrastructure Contributor	Read, write, delete and perform actions on Managed DevOps Pools	Yes
DevCenter Owner	Provides access to manage all Microsoft.DevCenter resources, and to manage access to Microsoft.DevCenter resources by adding or removing role assignments for the DevCenter Project Admin and DevCenter Dev Box roles.	Yes
Service Health Security Reader	Grants permissions to view sensitive security information present in service health events	Yes
Service Health Billing Reader	Grants permissions to view billing information present in service health events	Yes
Azure Stack Edge Operations Role	Built in role for managing operations in azure stack edge	Yes
Grounding with Bing User	Enable Approved Microsoft Applications to connect to Bing to retrieve and ground responses using real-time data	No
Azure Advisor Service Role	Grants permission to delete and write access for suppressions, configurations and assmessments	Yes
Experimentation Resource Admin	Experimentation Resource Admin	Yes
FHIR Data Bulk Operator	Role allows user or principal to perform bulk operations	No
Microsoft Discovery Platform Contributor (Preview)	Grants permissions to view and operate on most Discovery platform resources, including workspaces, supercomputers, storages, agents, bookshelves, data containers, models, tools, workflows, and investigations, as well as perform data plane actions, but does not allow creating, updating, or deleting core resources such as workspaces, supercomputers, storages, bookshelves, node pools, or projects. This role is in preview and subject to change.	Yes
Microsoft Discovery Platform Administrator (Preview)	Grants full access to manage Microsoft.Discovery resources. This role is in preview and subject to change.	Yes
Microsoft Discovery Platform Reader (Preview)	Grants readonly permissions to view Microsoft.Discovery resources. This role in preview and subject to change.	Yes
Azure IoT Operations Onboarding	User can Azure arc connect and deploy Azure IoT Operations securely.	Yes
Azure IoT Operations Administrator	View, create, edit and delete AIO resources. Manage all resources, including instance and its downstream resources.	Yes
Connector Writer	Write connectors and have basic customer permissions like reading authorizations, alert rules and resourceGroups	Yes
Virtual Enclave Owner Role	Virtual Enclave Owner Role to access the resources of Microsoft.Mission stored with RPSAAS.	Yes
NginxPlus Contributor service role	Provides access to all Nginx.NginxPlus Control Plane operations	Yes
CosmosDB Fleet Operator Role	Lets you manage Azure CosmosDB Fleets and related child resources	Yes
Healthcare Apis contributor	Allows all actions on healthcareapis provider resources	Yes
Liftr Elastic Contributor	Provides access to Elastic Control Plane Operations	Yes
Liftr Newrelic Contributor	Provides access to Newrelic Control Plane Operations	Yes
Liftr Datadog Contributor	Provides access to Datadog Control Plane Operations	Yes
Liftr Elastic Owner	Grants full access to manage Elastic resources	Yes
Policy Enrollments Contributor	Allows the creation and modification of policy enrollments	Yes
Liftr Dynatrace Contributor	Provides access to Dynatrace Control Plane Operations	Yes
Microsoft.OffAzureSpringBoot Service Owner	Full access to Azure Microsoft.OffAzureSpringBoot Service REST APIs	Yes
Nexus Identity Owner	Provides owner access to nexusidentity resources	Yes
Nexus Network Fabric Owner	Provides owner access to nexus network fabric resources	Yes
Conversation Session User	Allows sending a message to the agent and receive a response, using the conversation session API	No
CosmosDB Fleet Analytics Storage Data Writer	Write telemetry data from the Fleet Analytics Synapse workspace to customer-provided storage accounts or Fabric Lakehouses.	Yes
Azure Data Transfer Owner	Create, read, modify, and delete pipelines, connections, and flows in Azure Data Transfer. Also perform any appropriate control plane operations for managing Azure Data Transfer resources.	Yes
Azure Business Continuity DUPI Reader	Lets you view Deleted Unified Protected items in Azure Business Continuity Center.	Yes
Video Indexer Account Contributor	Can manage Video Indexer Account resources and generate access tokens for data plane operations.	Yes
Sites Reader	View all Sites related resources but does not allow you to make any changes.	Yes
Sites Owner	Microsoft Edge Sites Owner role - Grants full access to manage all resources, including the ability to assign roles in Azure RBAC.	Yes
Liftr PureStorage Owner role	Provides access to all PureStorage related operations	Yes
Liftr Dell Owner role	Provides access to all Dell related operations	Yes
SupportPlan Contributor	Contributor role for Enterprise Support Resource Provider	Yes
Azure Spring Apps Service Owner	Full access to Azure Spring Apps Service REST APIs	Yes
Azure AI Enterprise Networking Outbound Rules Operator	A Built-in role that can authorize users to access and update the managed network settings of a machine learning workspace.	Yes
Azure Business Continuity UPI Reader	Lets you view Unified Protected items in Azure Business Continuity Center.	Yes
Pinecone.VectorDb Contributor Role	Provides access to all Pinecone.VectorDb related operations	Yes
LambdaTest.HyperExecute Contributor Role	Provides access to all LambdaTest.HyperExecute related operations	Yes
Microsoft.WeightsAndBiases Contributor Role	Provides access to all Microsoft.WeightsAndBiases related operations	Yes
ArizeAi.ObservabilityEval Contributor Role	Provides access to all ArizeAi.ObservabilityEval related operations	Yes
Recurring Scheduled Actions Contributor	Allows users to use Recurring Scheduled Actions offered by Microsoft.ComputeSchedule	Yes
Azure Resilience Management Drills Contributor	Contributor Role of Azure Resilience Management Drills Service	Yes
Azure Resilience Management Drills Reader	Reader Role of Azure Resilience Management Drills Service	Yes
Azure Resilience Management Drills Operator	Operator Role of Azure Resilience Management Drills Service	Yes
Azure Resilience Management Drills Administrator	Administrator Role of Azure Resilience Management Drills Service	Yes
Edge Order Partner Inventory Manager Service Role	Manage inventory metadata and inventory links associated with Edge Order Partner scenarios. Enables configuration and control of inventory resources for tracking and fulfillment purposes	Yes
Defender For Container Registries Operator	Grants Microsoft Defender for Cloud access to Azure Container Registries	Yes
Change Safety Contributor	Grants access to manage all Microsoft.ChangeSafety resources.	Yes
Clinical Coder Data User	Allows processing of health data in Clinical Coder	No
Defender Unified RBAC Data Manager	Defender Unified RBAC Data Manager. This role is managed and assigned automatically by the Defender Unified RBAC system. Manual assignment of this role is not recommended, as the Defender Unified RBAC system may modify or remove it at any time based on system requirements.	Yes
Azure Local Disconnected Operations Role	Azure Local Disconnected Operations Role	Yes
Workload Orchestration Administrator	Workload Orchestration Administrator Role	Yes
Firmware Analysis Reader	View firmware images but not upload them or perform any workspace configuration	Yes
Garnet Data Owner	Allows read, write, destructive and scripting actions on the Garnet resource	No
Garnet Data Reader	Allows read access to all keys within the Garnet resource	No
Garnet Script Data Contributor	Allows execution and management of scripts on the Garnet resource	No
Garnet Data Contributor	Allows read and write access to all keys within the Garnet resource	No
Defender Unified RBAC Authorization Manager	Defender Unified RBAC Authorization Manager. This role is managed and assigned automatically by the Defender Unified RBAC system. Manual assignment of this role is not recommended, as the Defender Unified RBAC system may modify or remove it at any time based on system requirements.	No
Defender Unified RBAC Authorization Reader	Defender Unified RBAC Authorization Reader. This role is managed and assigned automatically by the Defender Unified RBAC system. Manual assignment of this role is not recommended, as the Defender Unified RBAC system may modify or remove it at any time based on system requirements.	No
Defender Unified RBAC Contributor and Responder	Defender Unified RBAC Contributor and Responder. This role is managed and assigned automatically by the Defender Unified RBAC system. Manual assignment of this role is not recommended, as the Defender Unified RBAC system may modify or remove it at any time based on system requirements.	Yes
Defender Unified RBAC Reader	Defender Unified RBAC Reader. This role is managed and assigned automatically by the Defender Unified RBAC system. Manual assignment of this role is not recommended, as the Defender Unified RBAC system may modify or remove it at any time based on system requirements.	Yes
Defender Unified RBAC Responder	Defender Unified RBAC Responder. This role is managed and assigned automatically by the Defender Unified RBAC system. Manual assignment of this role is not recommended, as the Defender Unified RBAC system may modify or remove it at any time based on system requirements.	Yes
Azure Monitor Pipeline Reader	Read Azure Monitor Pipeline resources, including pipeline configurations and monitoring features.	Yes
Azure Monitor Pipeline Contributor	Manage Azure Monitor Pipeline resources, providing full read and write access to pipeline configurations and monitoring features.	Yes
Azure Migrate Owner	Grants full access to create and manage Azure Migrate projects including appliance-based discovery, creation of business case & assessment report and execution of migrations; Also grants ability to assign Azure Migrate specific roles in Azure RBAC.	Yes
Azure Migrate Decide and Plan Expert	Grants restricted access on Azure Migrate project to only perform planning operations including appliance-based discovery, managing inventory, identifying server dependencies, creation of business case & assessment reports.	Yes
Azure Migrate Service Reader	Grants required access to the system assigned managed identity of Azure Migrate project resource.	Yes
Azure Migrate Execute Expert	Grants restricted access on an Azure Migrate project to only perform migration related operations, including replication, execution of test migrations, tracking and monitoring of migration progress, and initiation of agentless and agent-based migrations.	Yes
Hybrid Connectivity contributor role	Microsoft.HybridConnectivity contributor role	Yes
SRE Agent Reader	Grants read-only access to all SRE Agent data, including chats, incidents, logs, and configurations. Does not permit interaction with the agent.	Yes
Aws Connector contributor role	Microsoft.AwsConnector contributor role	Yes
Storage File Data SMB MI Admin	Allows for admin-level access for managed identities on files/directories in Azure file shares.	No
Common Edge Admin	Common Edge Admin Role	Yes
Firmware Analysis User	Upload and analyze firmware images but not perform any workspace configuration	Yes
SRE Agent Administrator	Full control of the agent—manage chats, incident response plans, and agent run modes; approve and execute commands.	Yes
SRE Agent Standard User	Grants access to interact with the SRE Agent to triage incidents and run diagnostics.	Yes
Azure Kubernetes Fleet Manager Hub Cluster User Role	Grants read access to Azure Kubernetes Fleet Manager as well as the Kubernetes config file to connect to the fleet-managed hub cluster.	Yes
Log Analytics Data Reader	Log Analytics Data Reader can query and search the logs it is allowed to view over Log Analytics workspaces and tables	Yes
Dynamics 365 Customer Insights Service Role	Enables Diagnostic Logging setup for Customer Insights instances.	Yes
Storage Actions Blob Data Operator	Used by the Storage Actions - Storage Task to list & perform operations on the Storage Account blobs	Yes
Storage Actions Task Assignment Contributor	Used by the Storage Actions assigner to create a Task Assignment on their target Storage Account, with RBAC privileges for Managed Identity	Yes
Storage Actions Contributor	Used by the Storage Actions author to create, read, update, and delete Storage Actions	Yes
Azure Native Dynatrace Agent Management Role	Grants access to manage Dynatrace Agent on compute resources	Yes
Essential Machine Management Administrator	Can managed Essential Machine Management resources for subscriptions	Yes
Garnet PubSub Data Contributor	Allows read and write access to all channels within the Garnet resource	No
Garnet PubSub Data Reader	Allows read access to all channels within the Garnet resource	No
Tenant Contributor	Allows users to create and manage Entra ID Tenants.	Yes
Storage File Data SMB Admin	Allows for admin access equivalent to storage account key for end users over SMB.	No
Supercomputer Infrastructure Contributor	Lets you manage Supercomputer Infrastructure resources, but not access to them.	Yes
Azure Resilience Management Recovery Contributor	Contributor Role of Azure Resilience Management Recovery Service	Yes
Azure Resilience Management Recovery Operator	Operator Role of Azure Resilience Management Recovery Service	Yes
Azure Resilience Management Recovery Reader	Reader Role of Azure Resilience Management Recovery Service	Yes
Azure Resilience Management Recovery Administrator	Administrator Role of Azure Resilience Management Recovery Service	Yes
Healthcare Agent Contributer	Manage Helathcare Agent resources - list, view details, edit and delete resources.	Yes
Azure Device Registry Contributor	Allows for full access to IoT devices within Azure Device Registry Namespace.	Yes
Azure Device Registry Credentials Contributor	Allows for full access to manage credentials and policies within Azure Device Registry Namespace.	Yes
Migrate Arc Discovery Reader - Preview	Read metadata of Azure Arc enabled server resources and metadata, performance and migration suitability of Arc enabled SQL server resources. Users creating Azure Migrate project that uses Arc resource discovery require this role on Arc scope of the project. To enable periodic sync, Azure Migrate project managed identity must be assigned this role. This role is in preview and subject to change.	Yes
Azure Device Registry Onboarding	Allows for full access to Azure Device Registry Namespace and X.509 certificate provisioning.	Yes
Hybrid Network Owner	Provides owner access to Hybrid Network Resources	Yes
Azure Resilience Management Goals Administrator	This role allows users to view, assign and delete resiliency goals for the service group, as well as modify the list of service group members that get evaluated against the goal. This role also allows a user to assign goal related permissions to other users.	Yes
Azure Resilience Management Goals Reader	This role allows users to view the resiliency goals for the service group, as well as view the list of service group members that are being evaluated against the goal.	Yes
Azure Resilience Management Goals Contributor	This role allows users to view, assign and delete resiliency goals for the service group, as well as modify the list of service group members that get evaluated against the goal.	Yes
Azure Kubernetes Application Network Contributor Role	Grant read, write and delete access to Azure Kubernetes Application Network	Yes
Azure Kubernetes Fleet Manager RBAC Admin for Member Clusters	This role grants admin access - provides write permissions on most objects within a namespace, with the exception of ResourceQuota object and the namespace object itself. Applying this role at cluster scope will give access across all namespaces.	Yes
Azure Kubernetes Fleet Manager RBAC Writer for Member Clusters	Allows read/write access to most objects in a namespace. This role does not allow viewing or modifying roles or role bindings. However, this role allows accessing Secrets and running Pods as any ServiceAccount in the namespace, so it can be used to gain the API access levels of any ServiceAccount in the namespace.  Applying this role at cluster scope will give access across all namespaces.	Yes
Azure Kubernetes Fleet Manager RBAC Cluster Admin for Member Clusters	Lets you manage all resources in the member clusters in the fleet.	Yes
Azure Kubernetes Fleet Manager RBAC Reader for Member Clusters	Allows read-only access to see most objects in a namespace. It does not allow viewing roles or role bindings. This role does not allow viewing Secrets, since reading the contents of Secrets enables access to ServiceAccount credentials in the namespace, which would allow API access as any ServiceAccount in the namespace (a form of privilege escalation).  Applying this role at cluster scope will give access across all namespaces.	Yes
Service Group Member Relationship Contributor	Role definition allowing read, write and delete access to Service Group Member relationship types	Yes
Relationship Reader	Role definition allowing read access to all relationship types	Yes
Relationship Administrator	Role definition allowing read, write and delete access to all relationship types	Yes
SRE Agent Author	Allows users to add custom features to the SRE Agent using incident handlers and extended agents.	Yes
Microsoft Confluent Contributor role	Microsoft Confluent Provider role to manage organizations and child resource.	Yes
Informatica DataManagement Contributor role	Informatica DataManagement Provider role to manage organizations and child resource.	Yes
Defender Cloud Secrets Posture	Service role that provides permissions for Microsoft Defender Cloud Secrets Posture	Yes
Azure Resilience Management Drills Assets Administrator	This Role grants permissions on the Chaos Subscription to create, read, and delete Resource Groups, Automation Accounts, and Chaos Experiments, and assigns necessary roles to Drill and Chaos MSIs for executing post actions required by Azure Resilience Management Drills.	Yes
Azure Resilience Management Drills Assets Contributor	This Role grants permissions on the Chaos Subscription to create, read, and delete Resource Groups, Automation Accounts, and Chaos Experiments for managing chaos engineering workflows required by Azure Resilience Management Drills	Yes
Azure Resilience Management Drills Target Resource Administrator	This role should be assigned at the Service Group Members scope to enable resource read access, manage role assignments, and configure chaos targets and capabilities for fault injection, failover, and other post-fault actions	Yes
Azure Resilience Management Drills Target Resource Contributor	This role should be assigned at the Service Group Members scope to enable resource read access and configure chaos targets and capabilities for fault injection, failover, and other post-fault actions	Yes
ARN Service Event Grid Subscriber Role	Allows ARN to subscribe to partner event grid topics	Yes
Gcp Connector contributor role	Microsoft.GcpConnector contributor role	Yes
Storage File Data SMB Take Ownership	Allows end user to assume ownership of a file/directory	No
Defender CSPM	Grants permissions for Microsoft Defender for Cloud CSPM base plan features	No
Storage DataShare Contributor	Allows creating and managing storage dataShares to share data from storage accounts in-place. This role is in preview and subject to change.	Yes
Storage Connector Contributor	Allows creating and managing storage connectors to access remote data sources in-place in a storage account. This role is in preview and subject to change.	Yes
Cognitive Services Security Integration Admin	Lets you manage safety providers for Cognitive Services.	Yes
Playwright Workspace Reader	View and list all Playwright Workspace resources and tests but can not make any changes.	Yes
Playwright Workspace Owner	Perform all operations on Playwright Workspace resources. Can manage service access tokens and execute Playwright tests.	Yes
Playwright Workspace Contributor	View and list Playwright Workspace resources but can not make any changes. Can manage service access tokens and execute Playwright tests.	Yes
Defender API Security	Grants Microsoft Defender for Cloud access to computes to provide API security	Yes
Defender Settings Contributor	Grants Microsoft Defender for Cloud access to Defender Settings	Yes
Defender Unified RBAC Scoped Reader	Defender Unified RBAC Scoped Reader. This role is managed and assigned automatically by the Defender Unified RBAC system. Manual assignment of this role is not recommended, as the Defender Unified RBAC system may modify or remove it at any time based on system requirements.	Yes
Azure Device Onboarding Contributor	Can read, write, or delete resources for onboarding services, policies, and device states.	Yes
Compute Limit Operator	Read and manage compute limits using compute limit operations.	Yes
MongoDB Atlas Contributor	Provides access to MongoDB.Atlas Control Plane Operations	Yes
Arc Container Storage Contributor	Create, read, modify, and delete Arc Container Storage resources on connected clusters. This role is in preview and subject to change.	Yes
Azure AI Owner	Grants full to manage AI project and accounts. Grants reader access to AI projects, reader access to AI accounts, and data actions for an AI project.	Yes
Azure Red Hat OpenShift First Party Network	Grant ARO Classic First Party Service Principal or managed identity required network permissions.	Yes
Elastic SAN Volume Data Contributor	Allows for read and write access to a volume data on Azure Elastic SAN	Yes
Microsoft Approvals Workflow Contributor	Performs approval workflow management operations including workflow creation, execution and deletion.	Yes
Microsoft Approvals Service Operator	Performs Approvals service-level management operations including service onboarding and configuration.	Yes
Microsoft Approvals Request User	Requests approval workflow execution for resource changes.	Yes
Astronomer Astro Contributor	Provides access to Astronomer.Astro Control Plane Operations	Yes
Defender Databricks Operator	Grants permissions for Microsoft Defender for Cloud feature on Databricks.	Yes
Azure Stack Hub registration role	Microsoft.AzureStack registration role.	Yes
EdgeMarketPlace role	Microsoft.EdgeMarketPlace role.	Yes
Azure Stack Hub Linked Subscriptions role	Microsoft.AzureStack Linked Subscriptions role.	Yes
Defender Open Source Relational Databases	Microsoft Defender for Open Source Relational Databases role. Grant permissions for enablement.	Yes
Defender SQL Servers On Machines	Microsoft Defender for SQL Servers On Machines role. Grant permissions for enablement.	Yes
Defender Azure Cosmos DB	Microsoft Defender for Azure Cosmos DB role. Grant permissions for enablement.	Yes
Defender for Storage Threat Protection	Microsoft Defender for Storage Threat Protection role - grants the permissions needed to enable/disable Defender for Storage Advanced Threat Protection at resource level.	Yes
Azure Kubernetes Fleet Manager ABAC Custom Resources Reader	Allows read-only access to view Kubernetes custom resources on Azure Kubernetes Fleet Manager fleets. This role enables viewing custom resources without the ability to create, modify, or delete them. Applying this role at cluster scope will give read access to custom resources across all namespaces. More information on supported attributes for Attribute-Based Access Control (ABAC) conditions can be found under documentation at aka.ms/aks/abac/custom-resources/docs	Yes
Azure Kubernetes Fleet Manager ABAC Custom Resources Reader for Member Clusters	Allows read-only access to view Kubernetes custom resources on Azure Kubernetes Fleet Manager member clusters. This role enables viewing custom resources without the ability to create, modify, or delete them. Applying this role at cluster scope will give read access to custom resources across all namespaces. More information on supported attributes for Attribute-Based Access Control (ABAC) conditions can be found under documentation at aka.ms/aks/abac/custom-resources/docs	Yes
Device Update Contributor	Gives you full access to manage Device Update accounts, instances, and private endpoint connections	Yes
Azure Kubernetes Fleet Manager ABAC Custom Resources Writer for Member Clusters	Allows write and delete access to manage Kubernetes custom resources on Azure Kubernetes Fleet Manager member clusters. This role enables creating, modifying, and deleting custom resources. Applying this role at cluster scope will give access to custom resources across all namespaces. More information on supported attributes for Attribute-Based Access Control (ABAC) conditions can be found under documentation at aka.ms/aks/abac/custom-resources/docs	Yes
Azure Kubernetes Fleet Manager ABAC Custom Resources Writer	Allows write and delete access to manage Kubernetes custom resources on Azure Kubernetes Fleet Manager fleets. This role enables creating, modifying, and deleting custom resources. Applying this role at cluster scope will give access to custom resources across all namespaces. More information on supported attributes for Attribute-Based Access Control (ABAC) conditions can be found under documentation at aka.ms/aks/abac/custom-resources/docs	Yes
Defender Servers P1	Defender Servers P1	Yes
Genome Admin	Full access to Genome control plane operations only	Yes
Defender Servers P2	Defender Servers P2	Yes
Healthcare Interop Contributor	Allows all actions on healthcare interop provider resources	Yes
Cosmos DB Long Term Retention Backup Role	Allows performing long term retention backup operations for Cosmos DB	Yes
Cosmos DB Long Term Retention Restore Role	Allows performing long term retention restore operations for Cosmos DB	Yes
Azure Edge On-Site Deployment Manager	Grants you access to take actions as an on-site person to assist in the provisioning of an edge device	Yes
