Roles	Description	Privileges
Azure Maps Data Contributor	Grants access to read, write, and delete access to map related data from an Azure maps account.	No
Cognitive Services Custom Vision Contributor	Full access to the project, including the ability to view, create, edit, or delete projects.	Yes
Cognitive Services Custom Vision Deployment	Publish, unpublish or export models. Deployment can view the project but can’t update.	Yes
Cognitive Services Custom Vision Labeler	View, edit training images and create, add, remove, or delete the image tags. Labelers can view the project but can’t update anything other than training images and tags.	Yes
Cognitive Services Custom Vision Reader	Read-only actions in the project. Readers can’t create or update the project.	Yes
Cognitive Services Custom Vision Trainer	View, edit projects and train the models, including the ability to publish, unpublish, export the models. Trainers can’t create or delete the project.	Yes
Key Vault Administrator	Perform all data plane operations on a key vault and all objects in it, including certificates, keys, and secrets. Cannot manage key vault resources or manage role assignments. Only works for key vaults that use the 'Azure role-based access control' permission model.	Yes
Key Vault Crypto User	Perform cryptographic operations using keys. Only works for key vaults that use the 'Azure role-based access control' permission model.	No
Key Vault Secrets Officer	Perform any action on the secrets of a key vault, except manage permissions. Only works for key vaults that use the 'Azure role-based access control' permission model.	Yes
Key Vault Secrets User	Read secret contents. Only works for key vaults that use the 'Azure role-based access control' permission model.	No
Key Vault Certificates Officer	Perform any action on the certificates of a key vault, except manage permissions. Only works for key vaults that use the 'Azure role-based access control' permission model.	Yes
Key Vault Reader	Read metadata of key vaults and its certificates, keys, and secrets. Cannot read sensitive values such as secret contents or key material. Only works for key vaults that use the 'Azure role-based access control' permission model.	Yes
Key Vault Crypto Service Encryption User	Read metadata of keys and perform wrap/unwrap operations. Only works for key vaults that use the 'Azure role-based access control' permission model.	Yes
Azure Arc Kubernetes Viewer	Lets you view all resources in cluster/namespace, except secrets.	Yes
Azure Arc Kubernetes Writer	Lets you update everything in cluster/namespace, except (cluster)roles and (cluster)role bindings.	Yes
Azure Arc Kubernetes Cluster Admin	Lets you manage all resources in the cluster.	Yes
Azure Arc Kubernetes Admin	Lets you manage all resources under cluster/namespace, except update or delete resource quotas and namespaces.	Yes
Azure Kubernetes Service RBAC Cluster Admin	Lets you manage all resources in the cluster.	Yes
Azure Kubernetes Service RBAC Admin	Lets you manage all resources under cluster/namespace, except update or delete resource quotas and namespaces.	Yes
Azure Kubernetes Service RBAC Reader	Allows read-only access to see most objects in a namespace. It does not allow viewing roles or role bindings. This role does not allow viewing Secrets, since reading the contents of Secrets enables access to ServiceAccount credentials in the namespace, which would allow API access as any ServiceAccount in the namespace (a form of privilege escalation). Applying this role at cluster scope will give access across all namespaces.	Yes
Azure Kubernetes Service RBAC Writer	Allows read/write access to most objects in a namespace.This role does not allow viewing or modifying roles or role bindings. However, this role allows accessing Secrets and running Pods as any ServiceAccount in the namespace, so it can be used to gain the API access levels of any ServiceAccount in the namespace. Applying this role at cluster scope will give access across all namespaces.	Yes
Services Hub Operator	Services Hub Operator allows you to perform all read, write, and deletion operations related to Services Hub Connectors.	Yes
Object Understanding Account Reader	Lets you read ingestion jobs for an object understanding account.	No
SignalR REST API Owner	Full access to Azure SignalR Service REST APIs	No
Collaborative Data Contributor	Can manage data packages of a collaborative.	Yes
Device Update Reader	Gives you read access to management and content operations, but does not allow making changes	Yes
Device Update Administrator	Gives you full access to management and content operations	Yes
Device Update Content Administrator	Gives you full access to content operations	Yes
Device Update Content Reader	Gives you read access to content operations, but does not allow making changes	Yes
Cognitive Services Metrics Advisor Administrator	Full access to the project, including the system level configuration.	Yes
Cognitive Services Metrics Advisor User	Access to the project.	Yes
Schema Registry Reader	Read and list Schema Registry groups and schemas.	Yes
Schema Registry Contributor	Read, write, and delete Schema Registry groups and schemas.	Yes
AgFood Platform Service Reader	Provides read access to AgFood Platform Service	No
AgFood Platform Service Contributor	Provides contribute access to AgFood Platform Service	No
AgFood Platform Service Admin	Provides admin access to AgFood Platform Service	No
Managed HSM contributor	Lets you manage managed HSM pools, but not access to them.	Yes
Security Detonation Chamber Submitter	Allowed to create submissions to Security Detonation Chamber	No
SignalR REST API Reader	Read-only access to Azure SignalR Service REST APIs	No
SignalR Service Owner	Full access to Azure SignalR Service REST APIs	No
Reservation Purchaser	Lets you purchase reservations	Yes
AzureML Metrics Writer (preview)	Lets you write metrics to AzureML workspace	Yes
Storage Account Backup Contributor	Lets you perform backup and restore operations using Azure Backup on the storage account.	Yes
